,Cell,assigned_cluster
0,mouse1_lib1.final_cell_0001,beta
1,mouse1_lib1.final_cell_0002,ductal
2,mouse1_lib1.final_cell_0003,delta
3,mouse1_lib1.final_cell_0004,schwann
4,mouse1_lib1.final_cell_0005,delta
5,mouse1_lib1.final_cell_0006,beta
6,mouse1_lib1.final_cell_0007,beta
7,mouse1_lib1.final_cell_0008,beta
8,mouse1_lib1.final_cell_0009,beta
9,mouse1_lib1.final_cell_0010,ductal
10,mouse1_lib1.final_cell_0011,ductal
11,mouse1_lib1.final_cell_0012,beta
12,mouse1_lib1.final_cell_0013,beta
13,mouse1_lib1.final_cell_0014,delta
14,mouse1_lib1.final_cell_0015,beta
15,mouse1_lib1.final_cell_0016,ductal
16,mouse1_lib1.final_cell_0017,beta
17,mouse1_lib1.final_cell_0018,quiescent_stellate
18,mouse1_lib1.final_cell_0019,ductal
19,mouse1_lib1.final_cell_0020,ductal
20,mouse1_lib1.final_cell_0021,beta
21,mouse1_lib1.final_cell_0022,beta
22,mouse1_lib1.final_cell_0023,beta
23,mouse1_lib1.final_cell_0024,delta
24,mouse1_lib1.final_cell_0025,quiescent_stellate
25,mouse1_lib1.final_cell_0026,endothelial
26,mouse1_lib1.final_cell_0027,ductal
27,mouse1_lib1.final_cell_0028,ductal
28,mouse1_lib1.final_cell_0029,beta
29,mouse1_lib1.final_cell_0030,ductal
30,mouse1_lib1.final_cell_0031,ductal
31,mouse1_lib1.final_cell_0032,ductal
32,mouse1_lib1.final_cell_0033,gamma
33,mouse1_lib1.final_cell_0034,beta
34,mouse1_lib1.final_cell_0035,beta
35,mouse1_lib1.final_cell_0036,ductal
36,mouse1_lib1.final_cell_0037,ductal
37,mouse1_lib1.final_cell_0038,ductal
38,mouse1_lib1.final_cell_0039,delta
39,mouse1_lib1.final_cell_0040,beta
40,mouse1_lib1.final_cell_0041,beta
41,mouse1_lib1.final_cell_0042,ductal
42,mouse1_lib1.final_cell_0043,delta
43,mouse1_lib1.final_cell_0044,endothelial
44,mouse1_lib1.final_cell_0045,beta
45,mouse1_lib1.final_cell_0046,beta
46,mouse1_lib1.final_cell_0047,alpha
47,mouse1_lib1.final_cell_0048,ductal
48,mouse1_lib1.final_cell_0049,beta
49,mouse1_lib1.final_cell_0050,ductal
50,mouse1_lib1.final_cell_0051,gamma
51,mouse1_lib1.final_cell_0052,beta
52,mouse1_lib1.final_cell_0053,ductal
53,mouse1_lib1.final_cell_0054,ductal
54,mouse1_lib1.final_cell_0055,ductal
55,mouse1_lib1.final_cell_0056,beta
56,mouse1_lib1.final_cell_0057,ductal
57,mouse1_lib1.final_cell_0058,endothelial
58,mouse1_lib1.final_cell_0059,ductal
59,mouse1_lib1.final_cell_0060,beta
60,mouse1_lib1.final_cell_0061,beta
61,mouse1_lib1.final_cell_0062,ductal
62,mouse1_lib1.final_cell_0063,ductal
63,mouse1_lib1.final_cell_0064,endothelial
64,mouse1_lib1.final_cell_0065,beta
65,mouse1_lib1.final_cell_0066,beta
66,mouse1_lib1.final_cell_0067,ductal
67,mouse1_lib1.final_cell_0068,beta
68,mouse1_lib1.final_cell_0069,endothelial
69,mouse1_lib1.final_cell_0070,ductal
70,mouse1_lib1.final_cell_0071,beta
71,mouse1_lib1.final_cell_0072,beta
72,mouse1_lib1.final_cell_0073,endothelial
73,mouse1_lib1.final_cell_0074,beta
74,mouse1_lib1.final_cell_0075,beta
75,mouse1_lib1.final_cell_0076,ductal
76,mouse1_lib1.final_cell_0077,beta
77,mouse1_lib1.final_cell_0078,ductal
78,mouse1_lib1.final_cell_0079,quiescent_stellate
79,mouse1_lib1.final_cell_0080,beta
80,mouse1_lib1.final_cell_0081,ductal
81,mouse1_lib1.final_cell_0082,ductal
82,mouse1_lib1.final_cell_0083,delta
83,mouse1_lib1.final_cell_0084,alpha
84,mouse1_lib1.final_cell_0085,ductal
85,mouse1_lib1.final_cell_0086,beta
86,mouse1_lib1.final_cell_0087,ductal
87,mouse1_lib1.final_cell_0088,ductal
88,mouse1_lib1.final_cell_0089,beta
89,mouse1_lib1.final_cell_0090,ductal
90,mouse1_lib1.final_cell_0091,delta
91,mouse1_lib1.final_cell_0092,endothelial
92,mouse1_lib1.final_cell_0093,beta
